,CVE_ENT,CVE_MUN,POB
1210,20,071,3255.0
1211,20,072,8059.0
1212,20,074,456.0
1213,20,076,3411.0
1214,20,190,22444.0
1215,20,078,1301.0
1216,20,077,4370.0
1217,20,523,1633.0
1218,20,081,1871.0
1219,20,080,1593.0
1220,20,082,4163.0
1221,20,086,1032.0
1222,20,083,11391.0
1223,20,092,1776.0
1224,20,087,5521.0
1225,20,089,2308.0
1226,20,090,6234.0
1227,20,091,6279.0
1228,20,094,1850.0
1229,20,096,756.0
1230,20,097,1771.0
1231,20,098,4233.0
1232,20,095,4562.0
1233,20,100,393.0
1234,20,101,748.0
1235,20,102,5326.0
1236,20,233,1720.0
1237,20,103,6064.0
1238,20,104,2705.0
